lambda_dot_xi,treatment,metric,mean,median,standard_deviation,minimum,maximum,mean_change_from_control,mean_percent_change_from_control,seed_improvement_count
0.0,control,global_x_rmse,0.07572730682673832,0.07594488117900625,0.007277172617603812,0.06670783179777669,0.08452920750343201,0.0,0.0,0
0.0,control,global_x_mae,0.020151823945741856,0.021844674567671307,0.002518630476923842,0.01659137177459147,0.02201942549496279,0.0,0.0,0
0.0,control,global_xi_rmse,0.0034992112083072346,0.0035102824755444124,0.0003358778786094975,0.003082422618115508,0.0039049285312617826,0.0,0.0,0
0.0,control,global_xi_mae,0.0011069030881624765,0.0010396002046578025,0.00012614306372127305,0.000997478151041671,0.0012836309087879555,0.0,0.0,0
0.0,control,global_dot_xi_rmse,0.001112137172180516,0.0011144563960673887,0.00010515443202213011,0.0009822058717288244,0.0012397492487453347,0.0,0.0,0
0.0,control,global_dot_xi_mae,0.0003645102814895489,0.0003663553730733052,3.172625149547268e-05,0.0003247640408874568,0.0004024114305078848,0.0,0.0,0
0.0,control,during_dot_xi_rmse,0.0032669982077124502,0.0033346863908529185,0.000357362641589865,0.0027994193829198395,0.003666888849364593,0.0,0.0,0
0.0,control,during_dot_xi_mae,0.001626235855261248,0.0016792658335278206,0.0002752856561770577,0.0012657086585680657,0.0019337330736878574,0.0,0.0,0
0.0,control,during_xi_rmse,0.008345244112278627,0.008226520459592693,0.0006419877249630146,0.007625086292156888,0.009184125585086304,0.0,0.0,0
0.0,control,pre_xi_rmse,0.008544526619620832,0.00834187306579476,0.0012605183439538454,0.007112048195079831,0.010179658597987909,0.0,0.0,0
0.0,control,post_xi_rmse,0.006277134047602867,0.006416057372913173,0.0005918450019347895,0.005492867522249977,0.0069224772476454526,0.0,0.0,0
0.0,control,post_xi_mae,0.0021044835765104686,0.002187393089684556,0.00013428370081986605,0.0019150670751116464,0.002210990564735203,0.0,0.0,0
0.0,control,post_dot_xi_rmse,0.0016657508340942636,0.0016258454248724318,7.951562081932746e-05,0.0015946553664689769,0.001776751710941382,0.0,0.0,0
0.0,control,hard_xi_rmse,0.00460355125166784,0.004627597839505922,0.00045613108660974235,0.004033272036626878,0.005149783878870722,0.0,0.0,0
0.0,control,ordinary_xi_rmse,0.0012346972517408772,0.0011976656363852805,6.298867714915195e-05,0.0011830500009646961,0.0013233761178726546,0.0,0.0,0
0.0,control,long_xi_rmse,0.0057027115650785986,0.0057230735346182685,0.000560995294231975,0.005005680798425579,0.0063793803621919505,0.0,0.0,0
0.0,control,hard_long_xi_rmse,0.007179193221293849,0.007205953086649276,0.0007146844807143766,0.006290813978521787,0.008040812598710485,0.0,0.0,0
0.0,control,energy_rmse,0.026319162954522718,0.02482248685595032,0.003392337534450481,0.023120109280983077,0.03101489272663475,0.0,0.0,0
0.0,control,union_violation_count,0.0,0.0,0.0,0.0,0.0,0.0,,0
0.0,control,training_wall_seconds,1129.2321899720118,1050.9054226250155,253.4620444862179,865.4711604160257,1471.3199868749944,0.0,0.0,0
0.0,control,validation_selection_mse,0.0006297619066332128,0.0006405367810412696,0.00011981343643865463,0.0004779305692899937,0.0007708183695683751,0.0,0.0,0
0.011,weak,global_x_rmse,0.0721750900700438,0.07302843401743267,0.0025836680207184212,0.06867159120123231,0.07482524499146642,-0.0035522167566945234,-4.690800327577849,2
0.011,weak,global_x_mae,0.01868849880341954,0.018410158800427737,0.0008185411899221163,0.01785457597714948,0.01980076163268141,-0.001463325142322315,-7.261502215691595,2
0.011,weak,global_xi_rmse,0.003325752949883513,0.0033917363875562703,0.00010186636179555833,0.0031818568895502415,0.0034036655725440267,-0.0001734582584237217,-4.957067410275961,2
0.011,weak,global_xi_mae,0.0009869908809006104,0.001005024185985367,5.505197953844538e-05,0.0009123832182467681,0.0010435652384696962,-0.0001199122072618661,-10.833126092450184,3
0.011,weak,global_dot_xi_rmse,0.0009978434048184789,0.000997067955195385,4.035491492028564e-05,0.0009488112171883109,0.0010476510420717408,-0.0001142937673620371,-10.276948763248928,3
0.011,weak,global_dot_xi_mae,0.0003108990171628322,0.00030025209661430503,2.2402370566773654e-05,0.0002903810064526185,0.0003420639484215731,-5.361126432671672e-05,-14.70775093301555,3
0.011,weak,during_dot_xi_rmse,0.0028895411796795983,0.0029558012217960057,9.895173207280728e-05,0.00274966673003441,0.00296315558720838,-0.00037745702803285196,-11.55363437732484,3
0.011,weak,during_dot_xi_mae,0.0012444587286982642,0.0012407238091520355,3.832718383045582e-05,0.0011994967392695384,0.0012931556376732187,-0.00038177712656298386,-23.476122810098353,3
0.011,weak,during_xi_rmse,0.008191554180610449,0.00827253651325436,0.00026281806957436374,0.007836911135586716,0.008465214892990269,-0.00015368993166817863,-1.8416469260863155,1
0.011,weak,pre_xi_rmse,0.008217028075928537,0.008821060563777254,0.0008939017105782495,0.006953269159830615,0.008876754504177744,-0.00032749854369229503,-3.832845964108289,2
0.011,weak,post_xi_rmse,0.005950062793903986,0.00580469560291935,0.00031245722688174476,0.005661366308615868,0.006384126470176736,-0.0003270712536988813,-5.2105188644773985,2
0.011,weak,post_xi_mae,0.0020959078816108513,0.0020491196156618165,0.00011333957277316521,0.0019865355588756634,0.0022520684702950745,-8.575694899617264e-06,-0.4074964041219542,1
0.011,weak,post_dot_xi_rmse,0.001564025567627347,0.0015738072149695582,5.71150620271863e-05,0.0014896981902038516,0.0016285712977086304,-0.00010172526646691667,-6.106871711232175,3
0.011,weak,hard_xi_rmse,0.004389051541135378,0.004448204068893145,0.00013158935546272457,0.004206670265717138,0.004512280288795851,-0.0002144997105324618,-4.659440045437746,2
0.011,weak,ordinary_xi_rmse,0.0011084452750031407,0.0010376207865332337,0.00010679254677117943,0.0010283374303204356,0.0012593776081557533,-0.00012625197673773645,-10.225338767031822,2
0.011,weak,long_xi_rmse,0.0054163683719323326,0.005500472048915215,0.0001325202286365144,0.005229273970255872,0.00551935909662591,-0.000286343193146266,-5.021176152406714,2
