model,scope,x_mae,x_maximum_absolute,x_median_absolute,x_p90_absolute,x_p95_absolute,x_p99_absolute,x_rmse,xi_mae,xi_maximum_absolute,xi_median_absolute,xi_p90_absolute,xi_p95_absolute,xi_p99_absolute,xi_rmse
accumulated_residual,aggregate,0.06407996275222179,2.535837313533939,0.04469570541980605,0.12012255922398446,0.17328933928304802,0.3781808556439225,0.12616708508282068,0.0012154892649972736,0.14524913846982884,0.0006891906346177708,0.0023146194686501113,0.0030782293940902097,0.007955664516179947,0.003443458106686568
average_rate,aggregate,0.01666389463319619,1.6489684964517615,0.0015966392728623546,0.026431783905290895,0.05371403922799797,0.36564684395892516,0.06999732686699366,0.0017612027998402096,0.15502820997263464,0.0003776152335218043,0.004711082129939845,0.007367251549826667,0.017090341013834436,0.00471531397973786
hybrid_s5,aggregate,0.01659137177459147,1.6535509389293228,0.0021935958262417343,0.036459535879924065,0.06003477791563978,0.22881641076726428,0.06670783179777669,0.000997478151041671,0.13566196006654216,0.0004240276365479953,0.002132993644346981,0.0032957178045139447,0.0077771198589306045,0.003082422618115508
accumulated_residual,short_s_le_5,0.042243734450918294,,,,,,0.054295563543362506,0.000839663191867761,,,,,,0.0012867125788100515
average_rate,short_s_le_5,0.0004119363631862261,0.024173405589488883,0.00018077570617514027,0.0008909375261918484,0.0013515320333532532,0.004055163342937875,0.0009693858226940592,0.0001112215815345908,0.0064521427691971445,2.717966557386209e-05,0.00032506943028992943,0.00047875274550739,0.0011393409085655912,0.00026169214094302716
hybrid_s5,short_s_le_5,0.0006491269754340585,0.029799562453380446,0.0002961889945787277,0.001511541594736654,0.0023090196061903434,0.004971524957667952,0.001412863085100371,0.00022179685057488878,0.008544500264215743,0.00010957524592231094,0.0005185988068592828,0.0007765432160680855,0.0017819026554346431,0.0004271068879127568
accumulated_residual,intermediate_5_lt_s_le_20,0.04882506552743623,,,,,,0.06358218271067946,0.0010159963074598307,,,,,,0.0022436347719057112
average_rate,intermediate_5_lt_s_le_20,0.004067233951044346,1.4415531222415652,0.001956622227815785,0.009276184388654098,0.014200009930960574,0.029779214028640852,0.012672655504477232,0.0009472008286916651,0.13364578833068969,0.0004441067400159579,0.002201114273869238,0.003141365643976574,0.006601961172575391,0.0024053332477117365
hybrid_s5,intermediate_5_lt_s_le_20,0.004925281637721027,1.2822429362610404,0.0025287778022571317,0.011264071635315686,0.016996100575636854,0.03378373175783798,0.012161623802877386,0.0009072848794135055,0.10237838627248083,0.000594776904975721,0.0019173476687157714,0.00282093906296215,0.005255077900102846,0.0018670132983968268
accumulated_residual,long_s_gt_20,0.101620107515491,,,,,,0.2021464789184974,0.0018022828299563227,,,,,,0.005395414289967114
average_rate,long_s_gt_20,0.045772859783405416,1.6489684964517615,0.013747764171688992,0.09916102132892403,0.23425685415799244,0.5506622621151845,0.12066417923286638,0.004279235532704773,0.15502820997263464,0.0025767233545613694,0.009062591119587307,0.013101752214888738,0.03067253162562118,0.007826046326493245
hybrid_s5,long_s_gt_20,0.04449611454579068,1.6535509389293228,0.01989692372157248,0.08119859398391367,0.15794808951485853,0.46611434922183587,0.1149799608778577,0.0019061383454595888,0.13566196006654216,0.0009774155333427959,0.0036073801896574996,0.005398218113824983,0.021201284355817616,0.005005680798425579
accumulated_residual,hard_u_th_le_0p30,0.07909159116982871,,,,,,0.1611608165146933,0.0014022747465762776,,,,,,0.004489073204839944
average_rate,hard_u_th_le_0p30,0.025999736506134963,1.6489684964517615,0.001810711038247259,0.044445374356311566,0.13171096605927987,0.4562098366023403,0.09431436740041663,0.002277384586344605,0.15502820997263464,0.0004604390749346199,0.006268376443166245,0.009734234529604443,0.02382235375474391,0.00603924186738794
hybrid_s5,hard_u_th_le_0p30,0.023321749558636286,1.6535509389293228,0.002385529969913147,0.04783189544787092,0.09805271865261472,0.3393045781873429,0.08900803337117186,0.0012015513328967426,0.13566196006654216,0.0004089302969818864,0.002447630074299693,0.0042752205670236465,0.01505957866360177,0.004033272036626878
accumulated_residual,ordinary_u_th_gt_0p30,0.046104665204958574,,,,,,0.0622769196466019,0.0009918276797588955,,,,,,0.001387628635379317
average_rate,ordinary_u_th_gt_0p30,0.005484925180192237,0.1178314595438339,0.0013871439820070108,0.017098258709662417,0.02504154845990955,0.04265308476867985,0.010734330211008279,0.001143113879519495,0.026848253777186692,0.0002958125687732571,0.003431320035179347,0.004879714281824515,0.009340154354683917,0.0022770470524573648
hybrid_s5,ordinary_u_th_gt_0p30,0.008532249878675149,0.14045551727372185,0.0018872054316436682,0.027336068332334332,0.04064243138934698,0.07066455410720471,0.017084573541829823,0.0007531158431551261,0.011734536809684282,0.0004421054187850222,0.0019103553192032392,0.002580530339101217,0.004165201075272173,0.0011830500009646961
accumulated_residual,s_eq_0p2,0.043209741864256405,,,,,,0.08177717775357625,0.001232166993921814,,,,,,0.002094624297685433
average_rate,s_eq_0p2,8.850350754332828e-05,,,,,,0.0001905225648003909,2.8197441896754568e-05,,,,,,6.16326001031888e-05
hybrid_s5,s_eq_0p2,0.00012427509228758998,,,,,,0.00025355693367255404,4.946393723513043e-05,,,,,,0.0001030671474519004
