metric,lambda_dot_xi,seed,shared,split,delta_split_minus_shared,relative_delta,row_type,sign_consistency
validation_selection_mse,0.0,101,0.0006405367810412696,0.0006577887018350999,1.7251920793830318e-05,0.026933536534444198,seed,
validation_selection_mse,0.0,202,0.0004779305692899937,0.0005048792580864573,2.6948688796463605e-05,0.05638620027276799,seed,
validation_selection_mse,0.0,303,0.0007708183695683751,0.0005375700295217289,-0.00023324834004664614,-0.30259831531681725,seed,
validation_selection_mse,0.0,mean,0.0006297619066332128,0.0005667459964810955,-6.30159101521174e-05,-0.07309285950320168,aggregate,mixed
validation_selection_mse,0.034,101,0.0006127019838522907,0.0006349696457746583,2.226766192236769e-05,0.03634338146314203,seed,
validation_selection_mse,0.034,202,0.0004763367576356782,0.0004725079436006561,-3.8288140350221066e-06,-0.008038040259640302,seed,
validation_selection_mse,0.034,303,0.0005912138405223057,0.0006722505556555446,8.103671513323891e-05,0.13706836609516335,seed,
validation_selection_mse,0.034,mean,0.0005600841940034247,0.0005932427150102864,3.31585210068615e-05,0.05512456909955502,aggregate,mixed
global_x_rmse,0.0,101,0.07594488117900625,0.07699304060850276,0.0010481594294965146,0.0138015810048599,seed,
global_x_rmse,0.0,202,0.06670783179777669,0.06724641356836768,0.0005385817705909901,0.008073741209633207,seed,
global_x_rmse,0.0,303,0.08452920750343201,0.06685859443710197,-0.01767061306633004,-0.20904742382226388,seed,
global_x_rmse,0.0,mean,0.07572730682673832,0.07036601620465747,-0.0053612906220808455,-0.062390700535923584,aggregate,mixed
global_x_rmse,0.034,101,0.07826386911796337,0.07690679496041569,-0.001357074157547683,-0.017339727422653106,seed,
global_x_rmse,0.034,202,0.06804000689527286,0.06587799975705216,-0.0021620071382206923,-0.03177552791181301,seed,
global_x_rmse,0.034,303,0.0785852577132522,0.0774064660224538,-0.001178791690798403,-0.015000163199816266,seed,
global_x_rmse,0.034,mean,0.07496304457549614,0.07339708691330722,-0.001565957662188926,-0.02137180617809413,aggregate,all_negative_improvement
low_u_x_rmse,0.0,101,0.22703265817093543,0.23096601934177535,0.003933361170839922,0.017325089714090604,seed,
low_u_x_rmse,0.0,202,0.2035500971185864,0.20563357612119762,0.002083479002611216,0.010235706256614558,seed,
low_u_x_rmse,0.0,303,0.2562388717123369,0.2025169889593616,-0.05372188275297529,-0.20965547652459787,seed,
low_u_x_rmse,0.0,mean,0.22894054233395292,0.21303886147411152,-0.015901680859841383,-0.060698226851297575,aggregate,mixed
low_u_x_rmse,0.034,101,0.23244245896336435,0.22876673260318808,-0.003675726360176268,-0.01581348939676983,seed,
low_u_x_rmse,0.034,202,0.20497378523418278,0.20140298268656828,-0.0035708025476144933,-0.017420776727789106,seed,
low_u_x_rmse,0.034,303,0.24154318988794848,0.23564070275145874,-0.005902487136489748,-0.02443657028470934,seed,
low_u_x_rmse,0.034,mean,0.22631981136183188,0.22193680601373836,-0.004383005348093503,-0.01922361213642276,aggregate,all_negative_improvement
low_u_post_x_rmse,0.0,101,0.2704823991993895,0.23423851105770305,-0.03624388814168644,-0.13399721478723206,seed,
low_u_post_x_rmse,0.0,202,0.21769459032732694,0.21299859862719522,-0.004695991700131713,-0.021571467132328787,seed,
low_u_post_x_rmse,0.0,303,0.2905906393401034,0.22467459282823515,-0.06591604651186822,-0.22683472069697663,seed,
low_u_post_x_rmse,0.0,mean,0.2595892096222732,0.2239705675043778,-0.035618642117895456,-0.12746780087217915,aggregate,all_negative_improvement
low_u_post_x_rmse,0.034,101,0.26603577656942373,0.2495380903307454,-0.01649768623867834,-0.06201303618415083,seed,
low_u_post_x_rmse,0.034,202,0.22802784300853285,0.22235544495788157,-0.005672398050651284,-0.024875901011961164,seed,
